                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,L_0_entry_rate  ,  R-squared:         ,0.7699   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.7620   
No. Observations:,9412            ,  F-statistic:       ,2.65e+05 
Date:            ,Tue, Sep 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:40        ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.3335]      ,-0.9943  ,0.4246   ,-2.3420,0.0192 ,-1.8264 ,-0.1622 
C(sector)[T.3336]      ,-0.9953  ,0.4254   ,-2.3396,0.0193 ,-1.8292 ,-0.1615 
C(sector)[T.3339]      ,-0.9883  ,0.4253   ,-2.3240,0.0201 ,-1.8218 ,-0.1548 
C(sector)[T.3341]      ,-0.9286  ,0.4243   ,-2.1883,0.0286 ,-1.7602 ,-0.0969 
C(sector)[T.3342]      ,-0.9666  ,0.4249   ,-2.2749,0.0229 ,-1.7993 ,-0.1338 
C(sector)[T.3343]      ,-0.9332  ,0.4256   ,-2.1927,0.0283 ,-1.7673 ,-0.0990 
C(sector)[T.3344]      ,-0.9624  ,0.4247   ,-2.2658,0.0235 ,-1.7948 ,-0.1299 
C(sector)[T.3345]      ,-0.9816  ,0.4253   ,-2.3082,0.0210 ,-1.8151 ,-0.1481 
C(sector)[T.3346]      ,-0.9315  ,0.4249   ,-2.1922,0.0284 ,-1.7643 ,-0.0987 
C(sector)[T.3351]      ,-0.9737  ,0.4250   ,-2.2912,0.0220 ,-1.8066 ,-0.1408 
